id,nombre,ranking,fecha_nacimiento,año_profesional,altura,peso,ganancias,mano_dominante,tipo_reves,puntos
c993e53e-4aea-4ddf-9612-86cc8a42764a,Novak Djokovic,7,1987-05-22,2003,188,77,154875.79,DERECHA,DOS MANOS,4770
4cb92bab-54bd-4218-8a8c-3b7e8b1f9631,Daniil Medvedev,1,1996-02-11,2014,198,83,23585.31,DERECHA,DOS MANOS,7775
0bd16036-bb4d-4384-a8d2-25600091c875,Alexander Zverev,2,1997-04-20,2013,198,90,30886.53,DERECHA,DOS MANOS,6850
e2b36c0f-af09-46de-97e3-e742e6941641,Rafael Nadal,3,1986-06-03,2001,185,85,128081.95,IZQUIERDA,DOS MANOS,6165
c08b2bc9-322a-4a54-aac2-74170baf082e,Stefanos Tsitsipas,4,1998-08-12,2016,193,90,18363.25,DERECHA,UNA MANO,5045
53910a06-8c10-47e0-a2ce-4a4327d176f8,Matteo Berrettini,15,1996-04-12,2015,196,95,9387.50,DERECHA,UNA MANO,2280
40c9d0f8-3ce7-43c1-b018-1a9ca68de2f8,Casper Ruud,5,1998-12-22,2015,183,77,5929.58,DERECHA,DOS MANOS,4890
34347e01-dab8-4a05-b1d8-d4c134faffdd,Andrey Rublev,8,1997-10-20,2014,188,75,11331.64,DERECHA,DOS MANOS,3540
22d6a3b4-a098-4fb2-ab84-02dd239bb51a,Felix Auger-Aliassime,9,2000-08-08,2017,190,88,6613.10,DERECHA,DOS MANOS,3445
3fec60f9-a41b-4807-83c7-91c0e60caca1,Cameron Norrie,11,1995-08-23,2017,188,82,5859.29,IZQUIERDA,DOS MANOS,3155
4a73d5aa-15df-44c5-b5b1-598536fe67dc,Carlos Alcaraz,6,2003-05-05,2018,185,72,9290.58,DERECHA,DOS MANOS,4845
5bea7fda-d78d-4d3c-b53b-96a631308e7d,Jannik Sinner,10,2001-08-16,2018,188,76,3050.50,DERECHA,DOS MANOS,3185